Order_ID,Order_Date,Region,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_Percent,Customer_Rating,Sales_Rep,Total_Sales,Shipping_Cost
ORD-10575,2023-02-10,West,Electronics,Wireless Earbuds,24,180.4,5.0,3.0,Alice,4113.12,19.49
ORD-10226,2023-02-10,East,Furniture,Study Desk,14,259.77,5.0,3.0,Emma,3454.94,20.55
ORD-10115,2023-02-10,South,Electronics,USB-C Charger,2,49.59,25.0,,Emma,74.39,7.11
ORD-10574,2023-02-11,West,Toys,Board Game,19,118.01,5.0,4.9,Frank,2130.08,26.72
ORD-10305,2023-02-11,Central,Clothing,Cotton T-Shirt,21,69.58,,4.4,Emma,1461.18,29.6
ORD-10321,2023-02-14,Central,Electronics,Wireless Earbuds,3,54.82,15.0,,Emma,139.79,6.35
ORD-10487,2023-02-18,South,Groceries,Olive Oil,32,39.15,5.0,4.0,Alice,1190.16,23.09
ORD-10422,2023-02-18,North,Toys,Puzzle Set,30,37.43,0.0,5.0,Bob,1122.9,23.12
ORD-10035,2023-02-19,Central,Electronics,USB-C Charger,6,65.34,10.0,4.7,Diana,352.84,9.29
ORD-10210,2023-02-19,,Furniture,Office Chair,9,197.07,0.0,4.4,Alice,1773.63,12.24
ORD-10303,2023-02-22,South,Toys,RC Car,2,105.15,15.0,4.0,Bob,178.76,6.06
ORD-10576,2023-02-26,Central,Clothing,Hooded Sweatshirt,12,63.76,25.0,4.3,Diana,573.84,11.17
ORD-10373,2023-02-26,East,Electronics,Wireless Earbuds,33,97.88,0.0,,Carlos,3230.04,43.34
ORD-10467,2023-02-28,Central,Groceries,Green Tea Pack,1,27.3,15.0,4.6,Emma,23.2,6.07
ORD-10250,2023-03-01,East,Furniture,Bookshelf,39,268.32,25.0,3.6,Alice,7848.36,50.97
ORD-10039,2023-03-03,West,Groceries,Granola Bars,6,9.95,,3.5,Frank,50.74,8.98
ORD-10114,2023-03-04,South,Groceries,Olive Oil,22,41.99,20.0,4.6,Bob,739.02,30.07
ORD-10534,2023-03-04,Central,Groceries,Organic Coffee,26,44.47,0.0,,Alice,1156.22,20.31
ORD-10472,2023-03-06,South,Clothing,Denim Jeans,37,86.05,25.0,3.5,Frank,2387.89,48.22
ORD-10503,2023-03-06,West,Clothing,Cotton T-Shirt,33,89.28,5.0,4.5,Alice,2798.93,25.59
ORD-10066,2023-03-06,East,Groceries,Olive Oil,29,35.97,10.0,4.2,Emma,938.82,23.25
ORD-10063,2023-03-07,South,Toys,RC Car,24,18.65,15.0,2.9,Diana,380.46,32.18
ORD-10139,2023-03-07,North,Toys,Board Game,8,11.5,0.0,4.1,Alice,92.0,8.42
ORD-10419,2023-03-09,South,Clothing,Running Shorts,21,44.49,5.0,4.7,Diana,887.58,23.13
ORD-10034,2023-03-11,West,Toys,RC Car,15,112.92,5.0,3.1,Alice,1609.11,20.29
ORD-10392,2023-03-13,West,Furniture,Study Desk,39,55.28,10.0,3.6,Carlos,1940.33,30.94
ORD-10117,2023-03-16,West,Furniture,Office Chair,34,41.62,25.0,4.2,Diana,1061.31,33.77
ORD-10505,2023-03-16,South,Clothing,Hooded Sweatshirt,6,19.36,20.0,4.1,Alice,92.93,11.44
ORD-10592,2023-03-16,Central,Electronics,Smart Watch,11,34.67,15.0,,Alice,324.16,16.55
ORD-10335,2023-03-19,Central,Electronics,USB-C Charger,7,165.99,5.0,4.1,Bob,1103.83,12.61
ORD-10441,2023-03-19,North,Groceries,Organic Coffee,27,30.27,5.0,4.6,Emma,776.43,23.23
ORD-10028,2023-03-21,West,Furniture,Bookshelf,5,277.39,5.0,4.3,Frank,1317.6,7.63
ORD-10275,2023-03-24,West,Groceries,Organic Coffee,35,15.9,15.0,4.9,Alice,473.02,27.19
ORD-10033,2023-03-26,East,Toys,Puzzle Set,13,94.47,10.0,3.4,Diana,1105.3,16.33
ORD-10400,2023-03-28,South,Furniture,Floor Lamp,11,106.95,25.0,3.3,Alice,882.34,16.9
ORD-10045,2023-03-28,South,Clothing,Running Shorts,17,62.15,25.0,3.6,Frank,792.41,20.87
ORD-10105,2023-03-29,Central,Clothing,Denim Jeans,14,49.91,25.0,2.8,Diana,524.06,20.12
ORD-10147,2023-03-30,,Clothing,Denim Jeans,1,11.33,15.0,4.0,Frank,9.63,6.03
ORD-10071,2023-03-31,North,Groceries,Green Tea Pack,23,32.44,15.0,3.6,Alice,634.2,26.81
ORD-10228,2023-03-31,North,Clothing,Running Shorts,38,75.58,20.0,3.8,Alice,2297.63,47.13
ORD-10423,2023-03-31,,Furniture,Office Chair,23,219.28,20.0,3.4,Diana,4034.75,27.54
ORD-10361,2023-04-01,South,Toys,Building Blocks,28,118.58,15.0,2.7,Alice,2822.2,35.87
ORD-10440,2023-04-01,North,Groceries,Organic Coffee,30,8.88,20.0,4.8,Frank,213.12,28.15
ORD-10436,2023-04-01,South,Clothing,Hooded Sweatshirt,24,73.38,,4.4,Carlos,1496.95,16.23
ORD-10569,2023-04-02,East,Toys,Building Blocks,36,19.01,,4.3,Alice,547.49,32.75
ORD-10148,2023-04-03,East,Furniture,Floor Lamp,4,233.03,25.0,4.1,Bob,699.09,6.62
ORD-10245,2023-04-04,East,Furniture,Office Chair,5,326.11,5.0,3.2,Frank,1549.02,9.06
ORD-10382,2023-04-06,South,Furniture,Floor Lamp,36,258.35,,4.3,Carlos,6975.45,28.02
ORD-10391,2023-04-08,North,Groceries,Olive Oil,31,36.97,20.0,4.6,Diana,916.86,21.2
ORD-10086,2023-04-09,Central,Toys,Puzzle Set,4,55.93,5.0,4.0,Carlos,212.53,6.82
ORD-10297,2023-04-09,Central,Groceries,Organic Coffee,17,21.13,5.0,3.1,Frank,341.25,16.25
ORD-10216,2023-04-11,Central,Toys,RC Car,8,52.01,10.0,4.7,Frank,374.47,8.51
ORD-10550,2023-04-14,,Clothing,Denim Jeans,34,58.19,25.0,3.4,Carlos,1483.84,44.42
ORD-10523,2023-04-16,East,Furniture,Study Desk,21,40.36,0.0,2.7,Alice,847.56,14.07
ORD-10369,2023-04-16,North,Clothing,Hooded Sweatshirt,21,37.59,25.0,2.8,Carlos,592.04,21.58
ORD-10143,2023-04-19,South,Toys,RC Car,32,75.28,,3.5,Bob,2288.51,40.9
ORD-10348,2023-04-20,Central,Groceries,Organic Coffee,32,33.99,15.0,4.0,Frank,924.53,40.58
ORD-10276,2023-04-23,South,Toys,Building Blocks,16,67.29,,4.7,Emma,1022.81,21.69
ORD-10346,2023-04-24,East,Electronics,Bluetooth Speaker,9,124.64,10.0,,Carlos,1009.58,10.13
ORD-10530,2023-04-24,Central,Furniture,Office Chair,10,52.41,25.0,4.3,Emma,393.07,16.67
ORD-10068,2023-04-26,Central,Furniture,Office Chair,4,197.65,25.0,3.5,Alice,592.95,9.55
ORD-10085,2023-04-26,North,Toys,Puzzle Set,20,53.25,25.0,2.8,Carlos,798.75,23.37
ORD-10597,2023-04-28,North,Electronics,USB-C Charger,25,166.41,0.0,,Carlos,4160.25,24.49
ORD-10016,2023-04-28,Central,Groceries,Olive Oil,37,32.85,0.0,3.6,Alice,1215.45,47.75
ORD-10353,2023-04-29,East,Clothing,Cotton T-Shirt,7,75.95,15.0,3.0,Frank,451.9,8.52
ORD-10221,2023-04-29,South,Clothing,Denim Jeans,22,64.13,25.0,2.5,Alice,1058.14,27.8
ORD-10135,2023-04-29,North,Toys,Building Blocks,20,62.82,0.0,3.6,Bob,1256.4,26.15
ORD-10588,2023-05-01,North,Clothing,Cotton T-Shirt,18,32.79,25.0,3.4,Emma,442.66,22.35
ORD-10168,2023-05-01,North,Clothing,Denim Jeans,18,78.15,0.0,4.0,Diana,1406.7,24.27
ORD-10489,2023-05-02,Central,Clothing,Denim Jeans,15,80.06,5.0,4.7,Frank,1140.86,13.14
ORD-10490,2023-05-02,Central,Electronics,USB-C Charger,22,113.49,0.0,4.7,Frank,2496.78,14.15
ORD-10277,2023-05-04,West,Groceries,Granola Bars,7,19.31,20.0,,Carlos,108.14,9.64
ORD-10191,2023-05-06,North,Groceries,Granola Bars,11,10.55,5.0,4.2,Bob,110.25,14.39
ORD-10461,2023-05-08,,Clothing,Cotton T-Shirt,15,10.99,20.0,3.8,Diana,131.88,16.9
ORD-10195,2023-05-09,Central,Clothing,Running Shorts,34,35.78,25.0,3.7,Diana,912.39,26.16
ORD-10069,2023-05-09,East,Groceries,Granola Bars,37,36.21,15.0,3.4,Carlos,1138.8,36.28
ORD-10171,2023-05-10,Central,Furniture,Bookshelf,8,188.88,0.0,3.1,Carlos,1511.04,13.0
ORD-10384,2023-05-11,East,Groceries,Olive Oil,14,42.11,0.0,3.2,Bob,589.54,10.88
ORD-10399,2023-05-13,Central,Clothing,Cotton T-Shirt,3,50.98,5.0,4.2,Bob,145.29,8.01
ORD-10151,2023-05-16,East,Groceries,Olive Oil,16,32.1,15.0,3.9,Emma,436.56,21.55
ORD-10130,2023-05-16,North,Clothing,Hooded Sweatshirt,13,62.23,0.0,,Emma,808.99,19.34
ORD-10479,2023-05-16,East,Clothing,Cotton T-Shirt,19,26.74,5.0,3.0,Emma,482.66,14.93
ORD-10249,2023-05-16,North,Furniture,Bookshelf,37,185.8,5.0,4.9,Emma,6530.87,25.26
ORD-10178,2023-05-17,Central,Groceries,Granola Bars,6,34.66,20.0,3.7,Frank,166.37,11.51
ORD-10568,2023-05-20,West,Electronics,Wireless Earbuds,11,54.0,15.0,4.2,Emma,504.9,15.67
ORD-10443,2023-05-20,West,Clothing,Denim Jeans,18,70.49,10.0,2.9,Frank,1141.94,16.21
ORD-10453,2023-05-21,North,Clothing,Running Shorts,37,80.69,15.0,3.9,Diana,2537.7,29.77
ORD-10101,2023-05-21,South,Furniture,Office Chair,20,251.12,20.0,2.7,Carlos,4017.92,16.71
ORD-10232,2023-05-22,Central,Furniture,Office Chair,32,252.16,25.0,3.4,Emma,6051.84,30.09
ORD-10386,2023-05-22,Central,Furniture,Study Desk,17,162.04,10.0,3.3,Bob,2479.21,23.81
ORD-10580,2023-05-23,West,Furniture,Office Chair,10,291.97,15.0,4.1,Emma,2481.75,16.4
ORD-10259,2023-05-23,South,Furniture,Office Chair,4,67.88,15.0,3.6,Emma,230.79,8.03
ORD-10541,2023-05-23,West,Toys,RC Car,28,88.21,15.0,4.0,Frank,2099.4,21.13
ORD-10296,2023-05-23,East,Electronics,Smart Watch,17,218.91,10.0,4.1,Emma,3349.32,20.72
ORD-10224,2023-05-23,South,Clothing,Hooded Sweatshirt,2,17.93,5.0,3.0,Alice,34.07,6.05
ORD-10036,2023-05-24,South,Electronics,Smart Watch,39,243.66,20.0,3.8,Carlos,7602.19,21.63
ORD-10076,2023-05-25,North,Toys,Board Game,12,12.05,15.0,2.5,Alice,122.91,11.13
ORD-10511,2023-05-27,Central,Electronics,Wireless Earbuds,28,33.99,10.0,3.9,Alice,856.55,28.41
ORD-10416,2023-05-27,South,Electronics,Smart Watch,8,184.34,,4.0,Bob,1106.04,14.19
ORD-10444,2023-05-28,West,Electronics,Bluetooth Speaker,14,153.6,10.0,2.6,Carlos,1935.36,20.99
ORD-10515,2023-05-28,Central,Clothing,Running Shorts,27,61.45,,3.2,Diana,1244.36,29.29
ORD-10158,2023-05-30,East,Electronics,Bluetooth Speaker,18,245.33,0.0,3.4,Emma,4415.94,20.15
ORD-10170,2023-06-01,West,Electronics,USB-C Charger,16,226.63,0.0,2.8,Carlos,3626.08,20.36
ORD-10454,2023-06-04,West,Groceries,Granola Bars,27,6.36,10.0,4.2,Emma,154.55,30.1
ORD-10222,2023-06-05,East,Electronics,USB-C Charger,31,63.69,15.0,4.7,Alice,1678.23,23.06
ORD-10458,2023-06-07,,Toys,Building Blocks,16,49.23,15.0,4.1,Bob,669.53,20.11
ORD-10556,2023-06-07,East,Toys,Puzzle Set,9,57.49,15.0,3.1,Alice,439.8,11.27
ORD-10414,2023-06-08,North,Groceries,Granola Bars,30,21.81,15.0,3.0,Frank,556.16,34.03
ORD-10123,2023-06-10,East,Toys,Puzzle Set,6,48.92,,3.0,Alice,293.52,8.95
ORD-10514,2023-06-10,Central,Furniture,Floor Lamp,21,119.9,20.0,3.6,Diana,2014.32,29.12
ORD-10448,2023-06-12,North,Electronics,Bluetooth Speaker,36,158.53,20.0,4.0,Bob,4565.66,21.95
ORD-10560,2023-06-12,,Furniture,Office Chair,10,321.13,,4.4,Diana,2729.6,16.99
ORD-10167,2023-06-12,East,Furniture,Study Desk,4,344.49,20.0,3.9,Diana,1102.37,8.86
ORD-10289,2023-06-13,North,Electronics,Bluetooth Speaker,3,238.59,,4.6,Carlos,572.62,6.73
ORD-10500,2023-06-14,North,Toys,RC Car,21,17.05,25.0,4.7,Carlos,268.54,20.64
ORD-10474,2023-06-19,West,Toys,RC Car,3,107.3,10.0,4.5,Diana,289.71,7.04
ORD-10583,2023-06-20,North,Electronics,Wireless Earbuds,5,46.45,15.0,4.3,Carlos,197.41,8.6
ORD-10044,2023-06-20,South,Clothing,Hooded Sweatshirt,30,79.42,15.0,4.0,Bob,2025.21,33.27
ORD-10165,2023-06-21,South,Electronics,Wireless Earbuds,12,197.08,5.0,4.8,Frank,2246.71,15.22
ORD-10017,2023-06-24,South,Furniture,Bookshelf,25,170.25,25.0,2.8,Alice,3192.19,20.5
ORD-10095,2023-06-25,West,Electronics,Bluetooth Speaker,5,107.11,15.0,5.0,Frank,455.22,7.4
ORD-10140,2023-06-26,North,Clothing,Hooded Sweatshirt,9,77.95,15.0,2.5,Bob,596.32,15.73
ORD-10478,2023-06-26,Central,Groceries,Organic Coffee,23,40.51,10.0,4.1,Emma,838.56,14.63
ORD-10510,2023-06-28,West,Furniture,Study Desk,23,106.17,20.0,2.9,Alice,1953.53,27.5
ORD-10102,2023-06-28,Central,Furniture,Floor Lamp,34,273.69,15.0,4.2,Emma,7909.64,35.46
ORD-10132,2023-06-29,East,Electronics,Wireless Earbuds,39,141.12,10.0,3.3,Alice,4953.31,41.79
ORD-10046,2023-07-01,South,Clothing,Cotton T-Shirt,39,75.33,20.0,2.8,Frank,2350.3,30.52
ORD-10351,2023-07-01,West,Groceries,Olive Oil,31,37.42,5.0,,Emma,1102.02,27.81
ORD-10465,2023-07-06,East,Furniture,Floor Lamp,2,262.36,,4.4,Emma,446.01,7.34
ORD-10581,2023-07-07,East,Furniture,Bookshelf,4,95.55,15.0,4.4,Frank,324.87,8.58
ORD-10396,2023-07-07,West,Toys,Board Game,1,116.37,20.0,4.6,Alice,93.1,6.09
ORD-10107,2023-07-09,North,Electronics,Bluetooth Speaker,37,125.85,10.0,4.0,Bob,4190.8,29.93
ORD-10376,2023-07-09,Central,Toys,RC Car,29,58.2,25.0,,Carlos,1265.85,17.5
ORD-10324,2023-07-10,East,Groceries,Organic Coffee,30,38.68,5.0,3.3,Frank,1102.38,36.31
ORD-10019,2023-07-10,West,Groceries,Granola Bars,18,15.89,0.0,4.8,Alice,286.02,15.69
ORD-10263,2023-07-10,East,Toys,RC Car,25,30.61,15.0,4.0,Emma,650.46,20.13
ORD-10338,2023-07-12,West,Groceries,Olive Oil,30,44.61,25.0,3.8,Carlos,1003.72,24.42
ORD-10056,2023-07-14,North,Furniture,Office Chair,17,190.08,10.0,3.1,Carlos,2908.22,23.94
ORD-10300,2023-07-14,West,Groceries,Green Tea Pack,5,10.4,5.0,4.9,Diana,49.4,9.41
ORD-10209,2023-07-15,North,Toys,RC Car,35,18.76,5.0,3.8,Alice,623.77,29.67
ORD-10365,2023-07-17,North,Electronics,Wireless Earbuds,27,35.66,15.0,2.8,Bob,818.4,16.95
ORD-10278,2023-07-19,South,Furniture,Study Desk,15,238.09,0.0,4.3,Alice,3571.35,20.67
ORD-10120,2023-07-20,East,Electronics,USB-C Charger,34,44.08,5.0,3.4,Carlos,1423.78,20.67
ORD-10519,2023-07-20,Central,Groceries,Green Tea Pack,26,22.27,5.0,,Emma,550.07,25.18
ORD-10421,2023-07-20,North,Furniture,Office Chair,30,218.66,15.0,2.6,Frank,5575.83,40.4
ORD-10548,2023-07-23,Central,Clothing,Hooded Sweatshirt,31,17.32,25.0,3.3,Carlos,402.69,34.16
ORD-10542,2023-07-23,West,Toys,Building Blocks,29,15.43,15.0,,Carlos,380.35,35.26
ORD-10512,2023-07-26,West,Clothing,Hooded Sweatshirt,10,83.87,10.0,3.2,Emma,754.83,11.17
ORD-10128,2023-07-27,North,Electronics,Bluetooth Speaker,10,201.36,20.0,,Frank,1610.88,9.32
ORD-10027,2023-07-28,North,Clothing,Denim Jeans,33,81.69,15.0,3.9,Alice,2291.4,39.89
ORD-10488,2023-07-28,West,Groceries,Olive Oil,15,31.86,5.0,3.1,Carlos,454.0,14.75
ORD-10327,2023-07-28,West,Clothing,Denim Jeans,24,59.88,25.0,,Alice,1077.84,15.18
ORD-10181,2023-07-29,,Clothing,Running Shorts,1,89.47,,2.7,Bob,85.0,6.05
ORD-10306,2023-07-30,East,Groceries,Organic Coffee,39,25.11,5.0,3.8,Diana,930.33,40.0
ORD-10426,2023-07-30,North,Toys,RC Car,1,104.61,0.0,4.6,Alice,104.61,5.57
ORD-10255,2023-07-31,South,Toys,Board Game,8,40.04,5.0,2.7,Frank,304.3,10.16
ORD-10593,2023-08-06,North,Groceries,Organic Coffee,19,18.55,0.0,3.0,Bob,352.45,25.99
ORD-10427,2023-08-08,North,Electronics,USB-C Charger,3,217.07,20.0,3.9,Bob,520.97,6.65
ORD-10493,2023-08-08,South,Furniture,Floor Lamp,6,349.8,,3.8,Bob,1574.1,10.42
ORD-10573,2023-08-08,South,Clothing,Running Shorts,5,24.89,10.0,2.7,Bob,112.01,10.4
ORD-10040,2023-08-08,North,Toys,Puzzle Set,20,115.03,15.0,3.2,Frank,1955.51,20.93
ORD-10134,2023-08-09,East,Toys,Puzzle Set,9,8.19,10.0,2.8,Carlos,66.34,10.96
ORD-10340,2023-08-10,Central,Furniture,Study Desk,10,394.62,25.0,4.8,Diana,2959.65,11.54
ORD-10246,2023-08-11,West,Groceries,Granola Bars,3,25.82,0.0,3.7,Carlos,77.46,7.91
ORD-10367,2023-08-12,South,Groceries,Green Tea Pack,26,9.35,10.0,,Alice,218.79,18.96
ORD-10544,2023-08-15,Central,Electronics,Bluetooth Speaker,34,131.4,15.0,4.1,Alice,3797.46,37.81
ORD-10475,2023-08-16,West,Clothing,Cotton T-Shirt,11,49.54,5.0,4.7,Bob,517.69,15.54
ORD-10092,2023-08-18,East,Furniture,Floor Lamp,15,81.71,10.0,2.7,Frank,1103.08,17.19
ORD-10144,2023-08-21,Central,Groceries,Organic Coffee,34,18.86,0.0,2.5,Emma,641.24,19.16
ORD-10557,2023-08-22,South,Toys,Building Blocks,18,53.89,15.0,,Bob,824.52,15.13
ORD-10015,2023-08-23,North,Toys,Puzzle Set,1,18.09,20.0,3.7,Emma,14.47,5.58
ORD-10266,2023-08-23,North,Groceries,Olive Oil,549,22.39,20.0,3.1,Emma,9833.69,560.91
ORD-10029,2023-08-23,North,Groceries,Olive Oil,36,14.21,5.0,3.9,Alice,485.98,22.38
ORD-10563,2023-08-23,South,Electronics,Bluetooth Speaker,11,63.24,25.0,3.0,Frank,521.73,17.79
ORD-10596,2023-08-25,Central,Electronics,Wireless Earbuds,25,32.56,15.0,3.2,Alice,691.9,25.23
ORD-10055,2023-08-25,East,Clothing,Running Shorts,34,47.02,,4.1,Carlos,1278.94,30.6
ORD-10126,2023-08-26,,Clothing,Running Shorts,12,69.39,15.0,4.0,Diana,707.78,12.33
ORD-10190,2023-08-27,Central,Toys,Building Blocks,480,104.39,20.0,3.1,Frank,40085.76,472.78
ORD-10234,2023-08-29,South,Groceries,Green Tea Pack,38,23.47,15.0,4.1,Carlos,758.08,23.68
ORD-10320,2023-08-31,Central,Toys,Building Blocks,12,18.08,5.0,2.8,Carlos,206.11,15.45
ORD-10097,2023-09-01,North,Groceries,Olive Oil,9,26.0,10.0,2.9,Alice,210.6,9.56
ORD-10173,2023-09-01,South,Furniture,Study Desk,7,378.41,0.0,4.4,Frank,2648.87,11.98
ORD-10401,2023-09-01,West,Clothing,Denim Jeans,18,22.5,20.0,5.0,Alice,324.0,24.19
ORD-10215,2023-09-04,North,Electronics,Wireless Earbuds,7,210.2,0.0,,Carlos,1471.4,10.51
ORD-10509,2023-09-04,Central,Groceries,Organic Coffee,20,7.45,10.0,,Diana,134.1,13.5
ORD-10312,2023-09-04,South,Furniture,Bookshelf,12,338.65,15.0,2.6,Carlos,3454.23,18.3
ORD-10211,2023-09-05,West,Electronics,Bluetooth Speaker,33,62.8,0.0,4.7,Alice,2072.4,29.61
ORD-10481,2023-09-06,West,Toys,Board Game,32,82.43,,5.0,Frank,2505.87,34.52
ORD-10587,2023-09-11,,Groceries,Organic Coffee,18,9.48,0.0,,Diana,170.64,23.87
ORD-10439,2023-09-12,North,Clothing,Denim Jeans,10,52.21,0.0,4.8,Alice,522.1,15.01
ORD-10506,2023-09-14,South,Furniture,Office Chair,30,287.27,20.0,3.8,Diana,6894.48,35.44
ORD-10175,2023-09-20,North,Electronics,Wireless Earbuds,38,133.46,25.0,2.9,Frank,3803.61,35.35
ORD-10153,2023-09-20,East,Groceries,Green Tea Pack,16,2046.0540667480798,20.0,3.5,Frank,26189.49,15.26
ORD-10380,2023-09-22,,Groceries,Granola Bars,3,13.55,15.0,4.8,Carlos,34.55,8.0
ORD-10199,2023-09-23,East,Clothing,Denim Jeans,9,75.28,5.0,2.9,Frank,643.64,15.59
ORD-10161,2023-09-23,South,Furniture,Floor Lamp,6,98.63,5.0,3.3,Emma,562.19,9.48
ORD-10283,2023-09-24,East,Toys,RC Car,26,105.12,15.0,4.0,Frank,2323.15,33.76
ORD-10251,2023-09-24,North,Clothing,Cotton T-Shirt,21,89.48,10.0,2.6,Frank,1691.17,27.04
ORD-10214,2023-09-26,East,Furniture,Office Chair,25,310.54,5.0,2.8,Emma,7375.33,31.75
ORD-10207,2023-09-27,West,Electronics,USB-C Charger,14,202.18,20.0,4.6,Emma,2264.42,20.32
ORD-10235,2023-09-28,South,Clothing,Running Shorts,14,40.29,15.0,2.9,Alice,479.45,20.14
ORD-10006,2023-09-28,North,Toys,Puzzle Set,32,22.55,5.0,3.7,Bob,685.52,18.12
ORD-10030,2023-09-29,South,Clothing,Running Shorts,18,35.37,20.0,,Diana,509.33,19.44
ORD-10516,2023-09-29,West,Clothing,Cotton T-Shirt,8,44.64,20.0,3.6,Emma,285.7,11.25
ORD-10379,2023-09-30,South,Groceries,Olive Oil,14,18.95,5.0,3.7,Emma,252.04,16.68
ORD-10359,2023-10-03,South,Electronics,Bluetooth Speaker,19,237.08,15.0,3.0,Emma,3828.84,17.86
ORD-10518,2023-10-03,West,Groceries,Green Tea Pack,11,37.6,10.0,3.3,Diana,372.24,13.04
ORD-10551,2023-10-04,North,Groceries,Green Tea Pack,10,14.2,0.0,4.3,Frank,142.0,11.59
ORD-10156,2023-10-05,East,Groceries,Olive Oil,4,34.25,20.0,4.5,Frank,109.6,8.01
ORD-10528,2023-10-05,West,Clothing,Hooded Sweatshirt,12,14.61,,4.8,Carlos,131.49,16.07
ORD-10469,2023-10-06,North,Toys,Puzzle Set,33,16.59,20.0,2.5,Bob,437.98,24.17
ORD-10408,2023-10-10,North,Groceries,Organic Coffee,28,30.08,5.0,3.5,Bob,800.13,35.26
ORD-10437,2023-10-12,Central,Toys,Building Blocks,10,70.26,20.0,3.3,Bob,562.08,13.09
ORD-10496,2023-10-15,East,Electronics,USB-C Charger,36,92.22,0.0,3.9,Alice,3319.92,35.75
ORD-10050,2023-10-15,Central,Toys,Puzzle Set,39,106.0,15.0,,Diana,3513.9,30.42
ORD-10187,2023-10-16,East,Groceries,Granola Bars,22,33.79,15.0,4.8,Diana,631.87,23.84
ORD-10484,2023-10-16,East,Toys,Building Blocks,8,98.25,10.0,4.7,Diana,707.4,10.86
ORD-10525,2023-10-18,North,Toys,RC Car,5,24.41,25.0,4.0,Frank,91.54,8.13
ORD-10549,2023-10-19,South,Furniture,Study Desk,29,210.73,0.0,3.3,Diana,6111.17,24.57
ORD-10106,2023-10-19,,Electronics,USB-C Charger,25,64.94,15.0,3.3,Bob,1379.98,32.22
ORD-10299,2023-10-22,East,Electronics,Wireless Earbuds,12,204.11,5.0,4.5,Frank,2326.85,18.35
ORD-10053,2023-10-23,Central,Electronics,Bluetooth Speaker,4,214.8,20.0,4.9,Frank,687.36,8.67
ORD-10160,2023-10-27,North,Furniture,Bookshelf,23,208.35,25.0,3.0,Carlos,3594.04,24.37
ORD-10483,2023-10-27,East,Furniture,Bookshelf,5,121.28,5.0,3.5,Frank,576.08,10.11
ORD-10336,2023-10-29,South,Furniture,Floor Lamp,6,366.09,5.0,3.8,Alice,2086.71,8.83
ORD-10520,2023-10-30,,Toys,RC Car,9,19.68,5.0,3.5,Frank,168.26,10.69
ORD-10323,2023-10-31,East,Groceries,Olive Oil,14,23.71,,4.5,Bob,331.94,13.03
ORD-10404,2023-11-01,South,Groceries,Organic Coffee,22,15.13,25.0,4.3,Diana,249.64,30.25
